advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
-2.6077032e-08,0.9999994,0.1,21,0.0001,3.6906285285949707,0.9377686306834221,16.01835298869345,0.998656,7.008283e-15,0.0,2.1485124,-0.2047599,-0.19270027,0.01420814,0.13682175,0.6882857,0.2705078,0.16151652,0.70090497
0.0,0.9999996,0.1,22,0.0001,3.697592258453369,0.8719369769096375,16.048577510648304,0.998592,7.799317e-15,0.0,2.111877,-0.05478149,-0.027932925,0.028960442,0.40766436,0.6529565,0.43847656,0.3709224,0.64579165
1.1175871e-08,0.99999934,0.1,23,0.0001,3.774773597717285,0.9302932545542717,16.383565962314606,0.998528,7.8131945e-15,0.0,2.1260226,0.024195224,0.033011615,0.010942413,0.16156986,0.58819205,0.25195312,0.12908432,0.57077336
-7.450581e-09,0.9999996,0.1,24,0.0001,3.6676502227783203,0.8343480378389359,15.91862075858646,0.998464,9.395262e-15,0.0,2.1052282,-0.004992064,0.012133377,0.01923067,0.43881747,0.545099,0.43945312,0.421237,0.5650741
0.0,0.9999995,0.1,25,0.0001,9.463770389556885,0.7388198375701904,41.07539231578509,0.9984,1.2448376e-14,0.0,2.0059953,-0.036204897,-0.009489605,0.028721286,0.67995596,0.47459802,0.61035156,0.64639246,0.48887554
7.450581e-09,0.99999934,0.1,26,0.0001,3.9685709476470947,0.8794563412666321,17.22470029360718,0.998336,1.08437564e-14,0.0,1.9408852,0.07580203,0.087074235,0.013213091,0.5170801,0.48535514,0.45410156,0.4906549,0.45185652
7.450581e-09,0.9999995,0.1,27,0.0001,3.784101963043213,0.8111505508422852,16.42405365904172,0.998272,7.171564e-15,0.0,2.0941799,-0.030843986,-0.013048677,0.01988949,0.43745404,0.4937705,0.32910156,0.46136355,0.47022393
-7.450581e-09,0.9999996,0.1,28,0.0001,3.776329755783081,0.8395161479711533,16.39032012058629,0.998208,6.2068406e-15,0.0,1.9911914,0.073504515,0.09261364,0.021100316,0.490865,0.5713276,0.47460938,0.480195,0.5225979
0.0,0.9999995,0.1,29,0.0001,3.7410504817962646,0.8794545605778694,16.237198271685177,0.998144,8.889645e-15,0.0,1.9370115,-0.07765425,-0.06047623,0.01911503,0.5827469,0.5993114,0.546875,0.5993742,0.55084866
-1.3038516e-08,0.9999995,0.1,30,0.0001,3.734140157699585,0.8659360557794571,16.207205545571114,0.99808,1.2694706e-14,0.0,1.9092704,0.047205463,0.06183119,0.016534999,0.52489626,0.5771671,0.5361328,0.49429232,0.56796724
