advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
2.2351742e-08,0.9999997,0.1,0,0.0001,50.34043502807617,-0.0969153642654419,218.49147147602505,1.0,2.2759572e-15,0.0,2.3608422,-0.04734309,0.108855926,0.15855986,0.013224112,0.5120089,0.04296875,-0.06897626,0.09557001
-7.450581e-09,0.99999976,0.1,1,0.0001,3.7502524852752686,0.04113495349884033,16.27713752289613,0.999936,8.881784e-15,0.0,2.3534808,0.029425535,0.136177,0.109104946,0.019891426,0.45747146,0.055664062,-0.048400566,0.12389511
0.0,0.9999998,0.1,2,0.0001,3.6375246047973633,0.006253600120544434,15.78786720832189,0.999872,7.0360384e-15,0.0,2.3068607,-0.029067855,0.08001299,0.11138771,0.094515726,0.47651544,0.059570312,0.055568468,0.18632731
3.3527613e-08,0.9999997,0.1,3,0.0001,3.6749751567840576,0.02108454704284668,15.95041300687525,0.999808,7.924217e-15,0.0,2.3147655,0.14399245,0.20678258,0.06510488,0.24093863,0.38140133,0.15917969,0.112513684,0.22198181
1.4901161e-08,0.9999998,0.1,4,0.0001,3.677008867263794,0.1323503851890564,15.959239875276884,0.999744,9.3570984e-15,0.0,2.3784933,0.05171658,0.13454083,0.085202746,0.30079147,0.44949034,0.08300781,0.2515145,0.17342263
1.4901161e-08,0.99999976,0.1,5,0.0001,3.4465465545654297,0.43202459812164307,14.9589694208569,0.99968,1.2378987e-14,0.0,2.3057678,0.1113566,0.17821503,0.0691642,0.42929658,0.47034854,0.3095703,0.21119164,0.24561392
-2.2351742e-08,0.99999976,0.1,6,0.0001,3.6247072219848633,0.5235994458198547,15.732236206531525,0.999616,9.686696e-15,0.0,2.2717085,0.123623736,0.16382504,0.04247302,0.37455857,0.43339136,0.2841797,0.25825357,0.26872593
-1.4901161e-08,0.99999976,0.1,7,0.0001,3.5135087966918945,0.6761422157287598,15.24960415230857,0.999552,8.0074836e-15,0.0,2.3389158,0.004650986,0.03703767,0.0347256,0.19182399,0.5018302,0.13183594,0.17656033,0.34909913
-1.1175871e-08,0.9999996,0.1,8,0.0001,3.454599618911743,0.78232441842556,14.993921957082218,0.999488,8.996276e-15,0.0,2.321587,0.043716043,0.08282859,0.04143413,0.30341548,0.59570056,0.19921875,0.25748676,0.44220012
-7.450581e-09,0.9999996,0.1,9,0.0001,3.752941370010376,0.8173834681510925,16.288808029558922,0.999424,8.88894e-15,0.0,2.2604313,-0.12787025,-0.10106599,0.029064689,0.3723479,0.5655296,0.32226562,0.32434198,0.45917
