iter,train-flag_sum,train-len_mean,train-len_std,train-rew_max,train-rew_maxID,train-rew_mean,train-rew_min,train-rew_minID,train-rew_std,train-x_max,train-x_maxID,train-x_mean,train-x_min,train-x_minID,train-x_std
0,0,609.2,572.6782342642332,289.0,14,99.6,-99.0,7,124.18631164504403,420,19,276.25,97,9,97.68565657249789
25,0,89.5,67.91575664011997,697.0,11,339.85,224.0,4,113.45760221333782,811,11,413.8,295,4,125.42352251471812
50,0,87.5,29.674062748467726,675.0,6,323.0,208.0,13,106.1941617980951,757,6,396.5,287,13,109.53241529337332
75,0,128.35,102.18868577293671,1126.0,13,480.4,238.0,2,234.82299717020905,1404,15,576.9,310,2,290.9271214582786
100,0,168.3,112.25644747630311,1086.0,19,547.45,251.0,8,217.17837714652904,1296,17,666.45,323,8,290.11023335966627
125,0,131.15,46.65648400812046,984.0,9,585.2,295.0,7,160.44176513613905,1086,9,667.25,363,7,168.63596146729796
150,0,143.75,36.13706545916533,962.0,11,639.35,487.0,4,108.46532856171136,1071,11,723.95,566,4,114.84444914753172
175,0,149.35,61.71650913653493,1141.0,17,650.55,271.0,0,208.27205165360044,1247,17,736.4,340,0,218.62328329800556
200,0,184.6,78.52986692972298,1282.0,13,764.85,275.0,16,296.90205034657475,1397,19,857.55,342,16,311.69993182546574
225,0,178.05,60.00372905078484,1287.0,8,817.25,270.0,17,262.40367280203986,1461,18,938.2,340,17,301.49520725875556
250,0,226.05,101.29485426219834,1338.0,17,931.4,517.0,16,233.03141419130597,1447,17,1046.45,594,16,261.5200709314679
275,0,209.55,60.689764375881374,1279.0,6,888.65,344.0,11,251.30504869580318,1396,7,985.85,412,11,262.69835838847564
300,0,259.6,111.86527611372529,2041.0,9,1148.85,314.0,16,455.69126335711115,2196,9,1256.55,385,16,477.99879445454667
325,0,285.65,103.78356083696492,1935.0,7,1203.7,517.0,15,324.3575342118632,2082,7,1316.55,594,15,343.91226715544764
350,0,308.05,89.6183435463968,2042.0,9,1244.2,956.0,17,310.3684262292156,2194,9,1361.15,1070,10,326.7698387244453
375,0,224.7,69.83702456433836,1442.0,10,1026.3,385.0,0,296.1881327805015,1552,10,1126.85,457,0,308.44906791883807
400,0,351.05,110.365064671752,2304.0,13,1595.9,670.0,10,467.4406807285819,2458,13,1721.8,752,10,488.45261796821194
425,0,313.75,78.04093477143903,2042.0,5,1435.1,668.0,8,371.3039051774166,2181,6,1553.45,751,8,386.31961832141013
450,0,311.7,71.22787375739921,2285.0,7,1472.7,1140.0,1,334.71257819209603,2436,7,1590.85,1246,1,348.85918004260685
475,0,358.6,103.96364749276546,2478.0,17,1697.6,731.0,9,483.09185461980206,2635,17,1825.05,815,9,503.32777342403824
500,1,371.8,131.15929246530723,3009.0,18,1783.9,880.0,0,558.3743278482634,3193,18,1913.55,970,0,581.7685514876171
525,0,314.5,91.02719373901407,2794.0,17,1619.75,672.0,6,549.2675918894178,2951,17,1738.4,753,6,567.3270132824631
550,0,348.0,89.61696268006409,2525.0,7,1738.85,912.0,11,513.6472792685657,2679,7,1864.4,1005,11,531.2737900555608
575,0,277.04761904761904,96.25980528433809,2807.0,10,1383.7142857142858,519.0,7,503.26412102414383,2962,10,1495.0,594,7,521.4951947000452
600,0,332.8,84.1080257763788,2577.0,14,1795.45,1149.0,1,486.2359997984518,2724,14,1918.25,1248,1,502.92473343433807
625,0,322.6,164.16436885024717,2494.0,15,1571.95,876.0,0,591.0046086960743,2637,15,1692.65,967,0,615.3460225759162
650,0,309.4,99.11982647281017,2795.0,18,1641.05,663.0,5,596.322435851612,2953,18,1758.8,745,5,616.1510853678666
675,0,335.2,113.13558237795924,2831.0,18,1763.65,739.0,0,625.501260989936,2991,18,1886.95,824,0,648.0538924348807
700,0,365.35,100.76372115002503,2835.0,5,1967.45,1155.0,0,580.2257728677691,2995,5,2096.55,1257,0,600.0247890712516
725,1,385.1,109.20984387865408,3040.0,7,2102.75,672.0,0,629.8737075795433,3193,7,2234.65,755,0,650.2015283740881
750,1,393.2,99.83265998659957,3035.0,13,2156.5,972.0,9,566.2789506947967,3193,13,2290.5,1072,9,584.428738170874
775,0,368.5,80.17449719206226,2826.0,8,1999.9,1166.0,0,418.51163663630666,2998,8,2129.75,1267,0,434.01012372985036
800,1,480.35,203.49503065185644,3035.0,17,2387.25,1674.0,1,419.6245792372034,3193,17,2539.0,1793,1,439.9109000695482
825,1,325.4,88.42081202974784,3041.0,19,1793.9,1154.0,8,506.252397525187,3193,19,1914.55,1253,8,521.8730185591127
850,0,306.8,107.47492730865186,2807.0,16,1633.8,879.0,12,630.6185534853854,2976,16,1751.0,970,12,651.3591175380905
875,0,335.35,99.53304727576666,2714.0,12,1782.4,958.0,8,622.6733814769988,2867,12,1905.6,1058,8,642.3759335467045
900,1,372.15,127.61123579058389,3041.0,8,1984.65,1164.0,9,677.8710994724587,3193,8,2114.4,1265,9,701.5459642817425
925,1,435.45,151.05412109571853,3045.0,6,2210.75,669.0,7,654.2119591539121,3193,6,2352.9,752,7,666.1964349949645
950,0,416.25,187.3224159037033,2836.0,6,1790.55,1117.0,0,560.4158701357413,2994,6,1929.1,1224,0,569.7087764814581
975,1,380.95,132.66215549281566,3037.0,16,2031.4,669.0,8,721.2493604849851,3193,16,2162.55,751,8,745.7430841114117
1000,1,393.1,107.26178256956202,3041.0,16,2146.75,1080.0,17,626.4737723959399,3193,16,2280.3,1186,17,646.3801590395547
1025,1,358.15,147.37037524550178,3033.0,13,1929.95,670.0,0,835.0778092489345,3193,13,2056.45,753,18,862.9903519159411
1050,1,388.95,99.14104851170376,3033.0,16,2226.15,1173.0,0,558.4130438125528,3193,16,2359.65,1270,0,576.529641475614
1075,1,386.15,81.01066287841374,3042.0,7,2276.8,1170.0,0,517.0443501286907,3193,7,2409.7,1267,0,531.5930868624986
1100,1,411.1,88.1503828692763,3038.0,15,2289.1,958.0,0,504.3222085135653,3193,15,2426.35,1058,0,519.6802165755398
1125,1,350.6,115.81036223067433,3027.0,16,1963.35,671.0,0,657.7905650737171,3193,16,2089.0,753,0,678.7393461410646
1150,0,409.15,105.04297929895172,2822.0,15,2233.3,1183.0,18,457.89595979872985,2987,15,2371.5,1282,18,476.29491914149156
1175,1,412.7,107.07385301743838,3038.0,14,2239.5,882.0,15,607.3091058102126,3193,14,2377.15,971,15,627.4743241758981
1200,1,421.6,85.33721345345184,3027.0,18,2252.25,913.0,1,495.42758047973064,3193,18,2391.45,1019,1,510.071022015562
1225,0,412.15,96.3396465636033,2764.0,7,2201.6,1187.0,0,473.9291508232006,2930,7,2339.85,1284,0,492.0929053542634
1250,1,418.55,99.5657948293489,3015.0,8,2277.95,1357.0,0,481.13048905676305,3193,8,2416.4,1461,0,498.7437618657501
1275,2,470.35,194.60351358595764,3041.0,14,2424.95,1355.0,10,469.32136910650047,3193,6,2572.9,1460,10,483.17873504532463
1300,2,450.05,91.63322268697091,3041.0,7,2450.65,1356.0,0,446.8438513619719,3193,7,2594.4,1460,0,462.4739344006319
1325,1,412.1,97.44634421054491,3037.0,19,2284.85,1206.0,0,536.8890271741452,3193,19,2422.25,1306,0,554.6880091546959
1350,4,443.5,79.29596458836981,3047.0,19,2468.6,1680.0,17,458.59659833016644,3193,5,2609.9,1798,17,469.8373016268503
1375,2,436.3,100.6057155434024,3043.0,9,2406.4,1080.0,15,559.5160766233621,3193,7,2547.8,1186,15,577.2503443047913
1400,1,438.95,60.17846375573242,3037.0,15,2423.6,1933.0,1,304.19967126872444,3193,15,2566.4,2061,1,314.43431746550823
1425,0,396.95,116.43129948600591,2731.0,13,2227.4,259.0,0,690.2707005226283,2880,13,2362.35,326,0,713.3450970603218
1450,0,381.65,96.76377162967553,2792.0,7,2160.5,959.0,11,621.6973138111504,2946,7,2292.7,1058,11,641.0199762877909
1464,4,470.15,76.17629224371584,3044.0,12,2599.25,1184.0,0,398.32472619710666,3193,12,2745.6,1285,0,409.4810618331451
